organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Homo sapiens	9606	PRJNA31257	31257	Animals	Mammals	3253.85	41.4671	GCA_000001405.26	chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2	NA	858	60298	114419	2002-08-02	2016-06-06	Chromosome	Genome Reference Consortium	NA
Glossina morsitans morsitans	37546	PRJEA59499	59499	Animals	Insects	363.107	34.1	GCA_001077435.1	NA	CCAG01	24071	NA	NA	2014-03-12	2015-01-30	Contig	International Glossina Genomics Initiative	SAMEA3146294
Mus musculus	10090	PRJNA11777	11777	Animals	Mammals	2818.97	41.951	GCA_000001635.8	chromosome 1:NC_000067.6/CM000994.2; chromosome 2:NC_000068.7/CM000995.2; chromosome 3:NC_000069.6/CM000996.2; chromosome 4:NC_000070.6/CM000997.2; chromosome 5:NC_000071.6/CM000998.2; chromosome 6:NC_000072.6/CM000999.2; chromosome 7:NC_000073.6/CM001000.2; chromosome 8:NC_000074.6/CM001001.2; chromosome 9:NC_000075.6/CM001002.2; chromosome 10:NC_000076.6/CM001003.2; chromosome 11:NC_000077.6/CM001004.2; chromosome 12:NC_000078.6/CM001005.2; chromosome 13:NC_000079.6/CM001006.2; chromosome 14:NC_000080.6/CM001007.2; chromosome 15:NC_000081.6/CM001008.2; chromosome 16:NC_000082.6/CM001009.2; chromosome 17:NC_000083.6/CM001010.2; chromosome 18:NC_000084.6/CM001011.2; chromosome 19:NC_000085.6/CM001012.2; chromosome X:NC_000086.7/CM001013.2; chromosome Y:NC_000087.7/CM001014.2; mitochondrion MT:NC_005089.1/AY172335.1	NA	336	48701	78443	2004-09-02	2016-06-22	Chromosome	Universidad de Zaragoza	NA
Takifugu rubripes	31033	PRJNA1434	1434	Animals	Fishes	391.485	45.8414	GCA_000180615.2	chromosome 1:NC_018890.1/HE602535.1; chromosome 2:NC_018891.1/HE602536.1; chromosome 3:NC_018892.1/HE602537.1; chromosome 4:NC_018893.1/HE602538.1; chromosome 5:NC_018894.1/HE602539.1; chromosome 6:NC_018895.1/HE602540.1; chromosome 7:NC_018896.1/HE602541.1; chromosome 8:NC_018897.1/HE602542.1; chromosome 9:NC_018898.1/HE602543.1; chromosome 10:NC_018899.1/HE602544.1; chromosome 11:NC_018900.1/HE602545.1; chromosome 12:NC_018901.1/HE602546.1; chromosome 13:NC_018902.1/HE602547.1; chromosome 14:NC_018903.1/HE602548.1; chromosome 15:NC_018904.1/HE602549.1; chromosome 16:NC_018905.1/HE602550.1; chromosome 17:NC_018906.1/HE602551.1; chromosome 18:NC_018907.1/HE602552.1; chromosome 19:NC_018908.1/HE602553.1; chromosome 20:NC_018909.1/HE602554.1; chromosome 21:NC_018910.1/HE602555.1; chromosome 22:NC_018911.1/HE602556.1; mitochondrion MT:NC_004299.1/AJ421455.1	CAAB02	7091	23164	31052	2002-08-22	2011-07-12	Chromosome	The Fugu Genome Sequencing Consortium	SAMEA3138310
Ciona savignyi	51511	PRJNA1435	1435	Animals	Other Animals	587.353	37.5	GCA_000149265.1	NA	AACT01	34009	NA	NA	2003-10-24	2014-08-05	Scaffold	Broad Institute	SAMN02952906
Rattus norvegicus	10116	PRJNA10629	10629	Animals	Mammals	2870.18	42.3282	GCA_000001895.4	chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1	AABR07	1395	39365	56113	2002-11-27	2014-07-01	Chromosome	Rat Genome Sequencing Consortium	SAMN02808228
Branchiostoma floridae	7739	PRJNA20249	20249	Animals	Other Animals	521.895	41.8	GCA_000003815.1	NA	ABEP02	398	28627	28623	2008-04-24	2014-08-06	Scaffold	DOE Joint Genome Institute	SAMN02953694
Bombyx mori	7091	PRJDA20217	20217	Animals	Insects	481.819	38.7993	GCA_000151625.1	mitochondrion MT:NC_002355.1/AF149768.1	BABH01	43463	16166	22571	2008-04-23	2017-10-25	Scaffold	The international silkworm genome sequencing consortium	SAMD00036537
Felis catus	9685	PRJNA32759	32759	Animals	Mammals	3160.29	45.31	GCA_000003115.1	chromosome A1:CM000695.1; chromosome A2:CM000696.1; chromosome A3:CM000697.1; chromosome B1:CM000698.1; chromosome B2:CM000699.1; chromosome B3:CM000700.1; chromosome B4:CM000701.1; chromosome C1:CM000702.1; chromosome C2:CM000703.1; chromosome D1:CM000704.1; chromosome D2:CM000705.1; chromosome D3:CM000706.1; chromosome D4:CM000707.1; chromosome E1:CM000708.1; chromosome E2:CM000709.1; chromosome E3:CM000710.1; chromosome F1:CM000711.1; chromosome F2:CM000712.1; chromosome X:CM000713.1	ACBE01	104434	NA	NA	2009-01-14	2014-08-21	Chromosome	NHGRI/Genome Technology Branch	SAMN03000705
Xenopus tropicalis	8364	PRJNA12348	12348	Animals	Amphibians	1440.4	40.5404	GCA_000004195.3	chromosome 1:NC_030677.1/CM004443.1; chromosome 2:NC_030678.1/CM004444.1; chromosome 3:NC_030679.1/CM004445.1; chromosome 4:NC_030680.1/CM004446.1; chromosome 5:NC_030681.1/CM004447.1; chromosome 6:NC_030682.1/CM004448.1; chromosome 7:NC_030683.1/CM004449.1; chromosome 8:NC_030684.1/CM004450.1; chromosome 9:NC_030685.1/CM004451.1; chromosome 10:NC_030686.1/CM004452.1; mitochondrion MT:NC_006839.1/AY789013.1	AAMC03	6822	26496	39715	2009-11-13	2016-07-13	Chromosome	DOE Joint Genome Institute	SAMN00000117
Xenopus laevis	8355	PRJNA338693	338693	Animals	Amphibians	2718.43	40.2325	GCA_001663975.1	chromosome 1L:NC_030724.1/CM004466.1; chromosome 1S:NC_030725.1/CM004467.1; chromosome 2L:NC_030726.1/CM004468.1; chromosome 2S:NC_030727.1/CM004469.1; chromosome 3L:NC_030728.1/CM004470.1; chromosome 3S:NC_030729.1/CM004471.1; chromosome 4L:NC_030730.1/CM004472.1; chromosome 4S:NC_030731.1/CM004473.1; chromosome 5L:NC_030732.1/CM004474.1; chromosome 5S:NC_030733.1/CM004475.1; chromosome 6L:NC_030734.1/CM004476.1; chromosome 6S:NC_030735.1/CM004477.1; chromosome 7L:NC_030736.1/CM004478.1; chromosome 7S:NC_030737.1/CM004479.1; chromosome 8L:NC_030738.1/CM004480.1; chromosome 8S:NC_030739.1/CM004481.1; chromosome 9_10L:NC_030740.1/CM004482.1; chromosome 9_10S:NC_030741.1/CM004483.1; mitochondrion MT:NC_001573.1/M10217.1	LYTH01	108033	36776	56817	2016-06-14	2016-09-21	Chromosome	NCBI	SAMN04518361
Bos taurus	9913	PRJNA32899	32899	Animals	Mammals	2670.14	41.8867	GCA_000003055.5	chromosome 1:AC_000158.1/GK000001.2; chromosome 2:AC_000159.1/GK000002.2; chromosome 3:AC_000160.1/GK000003.2; chromosome 4:AC_000161.1/GK000004.2; chromosome 5:AC_000162.1/GK000005.2; chromosome 6:AC_000163.1/GK000006.2; chromosome 7:AC_000164.1/GK000007.2; chromosome 8:AC_000165.1/GK000008.2; chromosome 9:AC_000166.1/GK000009.2; chromosome 10:AC_000167.1/GK000010.2; chromosome 11:AC_000168.1/GK000011.2; chromosome 12:AC_000169.1/GK000012.2; chromosome 13:AC_000170.1/GK000013.2; chromosome 14:AC_000171.1/GK000014.2; chromosome 15:AC_000172.1/GK000015.2; chromosome 16:AC_000173.1/GK000016.2; chromosome 17:AC_000174.1/GK000017.2; chromosome 18:AC_000175.1/GK000018.2; chromosome 19:AC_000176.1/GK000019.2; chromosome 20:AC_000177.1/GK000020.2; chromosome 21:AC_000178.1/GK000021.2; chromosome 22:AC_000179.1/GK000022.2; chromosome 23:AC_000180.1/GK000023.2; chromosome 24:AC_000181.1/GK000024.2; chromosome 25:AC_000182.1/GK000025.2; chromosome 26:AC_000183.1/GK000026.2; chromosome 27:AC_000184.1/GK000027.2; chromosome 28:AC_000185.1/GK000028.2; chromosome 29:AC_000186.1/GK000029.2; chromosome X:AC_000187.1/GK000030.2; mitochondrion MT:NC_006853.1/AY526085.1	DAAA02	6337	32432	49107	2009-04-24	2014-12-09	Chromosome	Center for Bioinformatics and Computational Biology, University of Maryland	SAMN02898106
Ovis aries	9940	PRJNA179263	179263	Animals	Mammals	2615.52	41.9795	GCA_000298735.2	chromosome 1:NC_019458.2/CM001582.2; chromosome 2:NC_019459.2/CM001583.2; chromosome 3:NC_019460.2/CM001584.2; chromosome 4:NC_019461.2/CM001585.2; chromosome 5:NC_019462.2/CM001586.2; chromosome 6:NC_019463.2/CM001587.2; chromosome 7:NC_019464.2/CM001588.2; chromosome 8:NC_019465.2/CM001589.2; chromosome 9:NC_019466.2/CM001590.2; chromosome 10:NC_019467.2/CM001591.2; chromosome 11:NC_019468.2/CM001592.2; chromosome 12:NC_019469.2/CM001593.2; chromosome 13:NC_019470.2/CM001594.2; chromosome 14:NC_019471.2/CM001595.2; chromosome 15:NC_019472.2/CM001596.2; chromosome 16:NC_019473.2/CM001597.2; chromosome 17:NC_019474.2/CM001598.2; chromosome 18:NC_019475.2/CM001599.2; chromosome 19:NC_019476.2/CM001600.2; chromosome 20:NC_019477.2/CM001601.2; chromosome 21:NC_019478.2/CM001602.2; chromosome 22:NC_019479.2/CM001603.2; chromosome 23:NC_019480.2/CM001604.2; chromosome 24:NC_019481.2/CM001605.2; chromosome 25:NC_019482.2/CM001606.2; chromosome 26:NC_019483.2/CM001607.2; chromosome X:NC_019484.2/CM001608.2; mitochondrion MT:NC_001941.1/AF010406.1	AMGL02	5466	29110	43046	2012-09-21	2015-11-20	Chromosome	NCBI	SAMN00116405
Strongylocentrotus purpuratus	7668	PRJNA56067	56067	Animals	Other Animals	990.915	38.3	GCA_000002235.3	mitochondrion MT:NC_001453.1/X12631.1	AAGJ05	31897	31871	35804	2005-03-11	2015-03-10	Scaffold	NCBI	SAMN00829422
Sus scrofa	9823	PRJNA13421	13421	Animals	Mammals	2501.91	41.971	GCA_000003025.6	chromosome 1:NC_010443.5/CM000812.5; chromosome 2:NC_010444.4/CM000813.5; chromosome 3:NC_010445.4/CM000814.5; chromosome 4:NC_010446.5/CM000815.5; chromosome 5:NC_010447.5/CM000816.5; chromosome 6:NC_010448.4/CM000817.5; chromosome 7:NC_010449.5/CM000818.5; chromosome 8:NC_010450.4/CM000819.5; chromosome 9:NC_010451.4/CM000820.5; chromosome 10:NC_010452.4/CM000821.5; chromosome 11:NC_010453.5/CM000822.5; chromosome 12:NC_010454.4/CM000823.5; chromosome 13:NC_010455.5/CM000824.5; chromosome 14:NC_010456.5/CM000825.5; chromosome 15:NC_010457.5/CM000826.5; chromosome 16:NC_010458.4/CM000827.5; chromosome 17:NC_010459.5/CM000828.5; chromosome 18:NC_010460.4/CM000829.5; chromosome X:NC_010461.5/CM000830.5; chromosome Y:NC_010462.3/LT634572.1; mitochondrion MT:NC_000845.1/AF034253.1	AEMK02	706	30173	63577	2008-07-11	2016-12-06	Chromosome	The Swine Genome Sequencing Consortium (SGSC)	SAMN02953785
Canis lupus familiaris	9615	PRJNA13179	13179	Animals	Mammals	2410.98	41.3022	GCA_000002285.2	chromosome 1:NC_006583.3/CM000001.3; chromosome 2:NC_006584.3/CM000002.3; chromosome 3:NC_006585.3/CM000003.3; chromosome 4:NC_006586.3/CM000004.3; chromosome 5:NC_006587.3/CM000005.3; chromosome 6:NC_006588.3/CM000006.3; chromosome 7:NC_006589.3/CM000007.3; chromosome 8:NC_006590.3/CM000008.3; chromosome 9:NC_006591.3/CM000009.3; chromosome 10:NC_006592.3/CM000010.3; chromosome 11:NC_006593.3/CM000011.3; chromosome 12:NC_006594.3/CM000012.3; chromosome 13:NC_006595.3/CM000013.3; chromosome 14:NC_006596.3/CM000014.3; chromosome 15:NC_006597.3/CM000015.3; chromosome 16:NC_006598.3/CM000016.3; chromosome 17:NC_006599.3/CM000017.3; chromosome 18:NC_006600.3/CM000018.3; chromosome 19:NC_006601.3/CM000019.3; chromosome 20:NC_006602.3/CM000020.3; chromosome 21:NC_006603.3/CM000021.3; chromosome 22:NC_006604.3/CM000022.3; chromosome 23:NC_006605.3/CM000023.3; chromosome 24:NC_006606.3/CM000024.3; chromosome 25:NC_006607.3/CM000025.3; chromosome 26:NC_006608.3/CM000026.3; chromosome 27:NC_006609.3/CM000027.3; chromosome 28:NC_006610.3/CM000028.3; chromosome 29:NC_006611.3/CM000029.3; chromosome 30:NC_006612.3/CM000030.3; chromosome 31:NC_006613.3/CM000031.3; chromosome 32:NC_006614.3/CM000032.3; chromosome 33:NC_006615.3/CM000033.3; chromosome 34:NC_006616.3/CM000034.3; chromosome 35:NC_006617.3/CM000035.3; chromosome 36:NC_006618.3/CM000036.3; chromosome 37:NC_006619.3/CM000037.3; chromosome 38:NC_006620.3/CM000038.3; chromosome X:NC_006621.3/CM000039.3; mitochondrion MT:NC_002008.4/U96639.2	AAEX03	3310	36809	58776	2004-07-10	2014-08-06	Chromosome	Dog Genome Sequencing Consortium	SAMN02953603
Ornithorhynchus anatinus	9258	PRJNA12885	12885	Animals	Mammals	1995.61	45.6584	GCF_000002275.2	chromosome 1:NC_009094.1/CM000409.1; chromosome 2:NC_009095.1/CM000410.1; chromosome 3:NC_009096.1/CM000411.1; chromosome 4:NC_009097.1/CM000412.1; chromosome 5:NC_009098.1/CM000413.1; chromosome 6:NC_009099.1/CM000414.1; chromosome 7:NC_009100.1/CM000415.1; chromosome 10:NC_009103.1/CM000416.1; chromosome 11:NC_009104.1/CM000417.1; chromosome 12:NC_009105.1/CM000418.1; chromosome 14:NC_009107.1/CM000419.1; chromosome 15:NC_009108.1/CM000420.1; chromosome 17:NC_009110.1/CM000421.1; chromosome 18:NC_009111.1/CM000422.1; chromosome 20:NC_009112.1/CM000423.1; chromosome X1:NC_009114.1/CM000424.1; chromosome X2:NC_009115.1/CM000425.1; chromosome X3:NC_009116.1/CM000426.1; chromosome X5:NC_009118.1/CM000427.1; mitochondrion MT:NC_000891.1/X83427.1	AAPN01	200283	22225	24786	2006-04-10	2014-08-06	Chromosome	Washington University (WashU)	SAMN02953646
Gallus gallus	9031	PRJNA13342	13342	Animals	Birds	1230.26	42.9197	GCA_000002315.3	chromosome 1:NC_006088.4/CM000093.4; chromosome 2:NC_006089.4/CM000094.4; chromosome 3:NC_006090.4/CM000095.4; chromosome 4:NC_006091.4/CM000096.4; chromosome 5:NC_006092.4/CM000097.4; chromosome 6:NC_006093.4/CM000098.4; chromosome 7:NC_006094.4/CM000099.4; chromosome 8:NC_006095.4/CM000100.4; chromosome 9:NC_006096.4/CM000101.4; chromosome 10:NC_006097.4/CM000102.4; chromosome 11:NC_006098.4/CM000103.4; chromosome 12:NC_006099.4/CM000104.4; chromosome 13:NC_006100.4/CM000105.4; chromosome 14:NC_006101.4/CM000106.4; chromosome 15:NC_006102.4/CM000107.4; chromosome 16:NC_006103.4/CM000108.4; chromosome 17:NC_006104.4/CM000109.4; chromosome 18:NC_006105.4/CM000110.4; chromosome 19:NC_006106.4/CM000111.4; chromosome 20:NC_006107.4/CM000112.4; chromosome 21:NC_006108.4/CM000113.4; chromosome 22:NC_006109.4/CM000114.4; chromosome 23:NC_006110.4/CM000115.4; chromosome 24:NC_006111.4/CM000116.4; chromosome 25:NC_006112.3/CM000124.4; chromosome 26:NC_006113.4/CM000117.4; chromosome 27:NC_006114.4/CM000118.4; chromosome 28:NC_006115.4/CM000119.4; chromosome 30:NC_028739.1/CM003637.1; chromosome 31:NC_028740.1/CM003638.1; chromosome 32:NC_006119.3/CM000120.3; chromosome 33:NC_008465.3/CM000123.4; chromosome W:NC_006126.4/CM000121.4; chromosome Z:NC_006127.4/CM000122.4; linkage group LGE64:NC_008466.3/CM000367.3; mitochondrion MT:NC_001323.1/X52392.1	AADN04	23870	25062	46393	2004-02-29	2016-01-04	Chromosome	International Chicken Genome Consortium	SAMN02981218
Meleagris gallopavo	9103	PRJNA42129	42129	Animals	Birds	1128.34	41.7219	GCA_000146605.3	chromosome 1:NC_015011.2/CM000962.2; chromosome 2:NC_015012.2/CM000963.2; chromosome 3:NC_015013.2/CM000964.2; chromosome 4:NC_015014.2/CM000965.2; chromosome 5:NC_015015.2/CM000966.2; chromosome 6:NC_015016.2/CM000967.2; chromosome 7:NC_015017.2/CM000968.2; chromosome 8:NC_015018.2/CM000969.2; chromosome 9:NC_015019.2/CM000970.2; chromosome 10:NC_015020.2/CM000971.2; chromosome 11:NC_015021.2/CM000972.2; chromosome 12:NC_015022.2/CM000973.2; chromosome 13:NC_015023.2/CM000974.2; chromosome 14:NC_015024.2/CM000975.2; chromosome 15:NC_015025.2/CM000976.2; chromosome 16:NC_015026.2/CM000977.2; chromosome 17:NC_015027.2/CM000978.2; chromosome 18:NC_015028.2/CM000979.2; chromosome 19:NC_015029.2/CM000980.2; chromosome 20:NC_015030.2/CM000981.2; chromosome 21:NC_015031.2/CM000982.2; chromosome 22:NC_015032.2/CM000983.2; chromosome 23:NC_015033.2/CM000984.2; chromosome 24:NC_015034.2/CM000985.2; chromosome 25:NC_015035.2/CM000986.2; chromosome 26:NC_015036.2/CM000987.2; chromosome 27:NC_015037.2/CM000988.2; chromosome 28:NC_015038.2/CM000989.2; chromosome 29:NC_015039.2/CM000990.2; chromosome 30:NC_015040.2/CM000991.2; chromosome Z:NC_015041.2/CM000993.2; chromosome W:NC_015042.2/CM000992.2; mitochondrion MT:NC_010195.2/JF275060.1	ADDD02	233806	26366	33329	2010-09-07	2014-11-24	Chromosome	Turkey Genome Consortium	SAMN02981253
Coturnix japonica	93934	PRJNA314147	314147	Animals	Birds	927.657	41.3684	GCA_001577835.1	chromosome 1:NC_029516.1/CM003781.1; chromosome 2:NC_029517.1/CM003782.1; chromosome 3:NC_029518.1/CM003783.1; chromosome 4:NC_029519.1/CM003784.1; chromosome 5:NC_029520.1/CM003785.1; chromosome 6:NC_029521.1/CM003786.1; chromosome 7:NC_029522.1/CM003787.1; chromosome 8:NC_029523.1/CM003788.1; chromosome 9:NC_029524.1/CM003789.1; chromosome 10:NC_029525.1/CM003790.1; chromosome 11:NC_029526.1/CM003791.1; chromosome 12:NC_029527.1/CM003792.1; chromosome 13:NC_029528.1/CM003793.1; chromosome 14:NC_029529.1/CM003794.1; chromosome 15:NC_029530.1/CM003795.1; chromosome 16:NC_029531.1/CM003796.1; chromosome 17:NC_029532.1/CM003797.1; chromosome 18:NC_029533.1/CM003798.1; chromosome 19:NC_029534.1/CM003799.1; chromosome 20:NC_029535.1/CM003800.1; chromosome 21:NC_029536.1/CM003801.1; chromosome 22:NC_029537.1/CM003802.1; chromosome 23:NC_029538.1/CM003803.1; chromosome 24:NC_029539.1/CM003804.1; chromosome 25:NC_029540.1/CM003805.1; chromosome 26:NC_029541.1/CM003806.1; chromosome 27:NC_029542.1/CM003807.1; chromosome 28:NC_029543.1/CM003808.1; chromosome LGE22C19W28_E50C23:NC_029544.1/CM003809.1; chromosome LGE64:NC_029545.1/CM003810.1; chromosome W:NC_029546.1/CM003811.1; chromosome Z:NC_029547.1/CM003812.1; mitochondrion MT:NC_003408.1/AP003195.2	LSZS01	2531	20441	39088	2016-02-24	2016-03-01	Chromosome	NCBI	SAMN03989050
Struthio camelus australis	441894	PRJNA263340	263340	Animals	Birds	1225.04	41.3	GCA_000698965.1	mitochondrion MT:NC_002785.1/AF338715.1	JJRT01	6915	16560	25438	2014-05-06	2016-11-17	Scaffold	NCBI	SAMN02316164
